Year	0_temp	1_temp	2_temp	3_temp	4_temp
2228	1.06028106733	1.46304004986	2.06920450175	1.25827844414	1.70665413226
2229	1.06017685082	1.46287823385	2.06979363721	1.2580484127	1.70671722491
2230	1.06007352158	1.46271730732	2.07038151855	1.25781951567	1.70678053292
2231	1.05997106356	1.4625572381	2.07096810102	1.25759172754	1.70684401847
2232	1.05986944929	1.46239797424	2.07155331234	1.2573650067	1.7069076204
2233	1.05976863813	1.46223944098	2.07213704838	1.25713929294	1.70697125058
2234	1.05966857742	1.46208154265	2.07271917588	1.25691450907	1.70703479624
2235	1.05956920341	1.46192416438	2.07329953475	1.25669056223	1.7070981219
2236	1.05947044221	1.46176717374	2.07387794037	1.25646734532	1.70716107135
2237	1.05937220741	1.46161041652	2.07445417763	1.25624473346	1.70722346263
2238	1.05927440646	1.46145372799	2.0750280167	1.25602259324	1.70728510135
2239	1.05917694962	1.46129694847	2.07559923469	1.25580079531	1.70734579905
2240	1.05907975052	1.46113992435	2.07616761717	1.25557921524	1.70740537446
2241	1.05898272976	1.46098251442	2.07673296695	1.25535773864	1.70746366096
2242	1.05888581934	1.46082459757	2.07729511485	1.25513626737	1.70752051564
2243	1.05878896479	1.46066607653	2.07785392502	1.2549147227	1.7075758238
2244	1.05869212904	1.46050688468	2.07840930438	1.25469305069	1.70762950695
2245	1.05859529788	1.46034699557	2.07896121599	1.25447123001	1.70768153407
2246	1.05849848364	1.46018642932	2.07950968811	1.25424927715	1.70773192927
2247	1.05840172668	1.46002525536	2.08005481796	1.25402724853	1.70778077492
2248	1.05830509121	1.45986358499	2.08059676145	1.25380523458	1.70782820294
2249	1.05820866742	1.45970157516	2.08113573848	1.25358336271	1.70787439929
2250	1.05811257361	1.45953943214	2.08167203816	1.25336180035	1.70791960828
2251	1.05801694785	1.45937739699	2.08220599852	1.25314074311	1.70796411547
2252	1.05792194097	1.45921573326	2.08273798938	1.25292040481	1.70800823309
2253	1.05782770933	1.45905471428	2.08326839463	1.25270100714	1.70805228506
2254	1.05773440504	1.45889460607	2.08379758832	1.25248276578	1.70809658677
2255	1.05764216839	1.45873565411	2.08432591625	1.25226587969	1.70814142947
2256	1.05755112336	1.45857807537	2.08485368472	1.25205052463	1.70818707083
2257	1.05746137329	1.45842205085	2.08538115016	1.25183684707	1.70823372612
2258	1.0573729972	1.45826771905	2.08590850988	1.25162495892	1.70828156045
2259	1.05728604334	1.45811516471	2.08643588638	1.2514149284	1.70833067552
2260	1.05720053236	1.45796442434	2.08696333494	1.25120678454	1.70838111605
2261	1.05711646348	1.45781549704	2.0874908587	1.25100052592	1.70843288262
2262	1.05703381305	1.45766834195	2.08801840512	1.25079611868	1.70848592861
2263	1.05695253659	1.4575228819	2.0885458709	1.25059349943	1.70854016449
2264	1.05687257218	1.45737900919	2.08907311017	1.25039257997	1.70859546469
2265	1.05679384205	1.45723658852	2.0895999384	1.25019324968	1.70865167101
